event_type_count,online_theta,baseline_algorithm,average_jaccard_similarity,std_jaccard_similarity,checkpoints
15,0.1,stbfm,0.07485346131372998,0.03708186892361233,100
15,0.1,sts_miner,0.047410948026133555,0.029888409948297136,100
15,0.1,sts_miner_vs_stbfm,0.3788799704832238,0.32308855944166937,100
15,0.15,stbfm,0.09068397597418432,0.04315526840345341,100
15,0.15,sts_miner,0.05193504436376935,0.03662196861053756,100
15,0.15,sts_miner_vs_stbfm,0.33381918779909947,0.2887660488778435,100
15,0.2,stbfm,0.11291719148940267,0.10174214204209871,100
15,0.2,sts_miner,0.07014636389480222,0.10382350272002124,100
15,0.2,sts_miner_vs_stbfm,0.36080763577803165,0.3011145648265295,100
20,0.1,stbfm,0.05229326522006008,0.028496050781904803,100
20,0.1,sts_miner,0.0320165257398667,0.025380853748885886,100
20,0.1,sts_miner_vs_stbfm,0.30446865182072147,0.2964801486677264,100
20,0.15,stbfm,0.06302358329765734,0.03250553369853427,100
20,0.15,sts_miner,0.0372503133169239,0.027602962546654536,100
20,0.15,sts_miner_vs_stbfm,0.28250263417644017,0.2623247219023776,100
20,0.2,stbfm,0.10262855035286104,0.13459686208534935,100
20,0.2,sts_miner,0.06439827645344569,0.13898115702357006,100
20,0.2,sts_miner_vs_stbfm,0.31515794667220326,0.30124563330367754,100
